GP022552158
TEST NBR 00123
LMG6 GPS
EDWARDS AFB, CA
2132Z  12 SEP 17

  ALT  DIR   SPD  SHR  TEMP  DPT   PRESS   RH ABHUM DENSITY I/R V/S  VPS  PW
GEOMFT DEG   KTS /SEC DEG C DEG C   MBS   PCT  G/M3   G/M3   N  KTS  MBS  MM

 18300 196  27.3 .017  -6.8 -32.3  519.28  11  0.33  679.04 153 636  0.40 27
 18400 198  27.1 .016  -7.1 -32.5  517.22  11  0.32  677.05 153 636  0.39 27
 18500 198  27.4 .004  -7.4 -32.7  515.19  11  0.31  675.17 152 636  0.39 27
 18600 197  28.3 .018  -7.7 -33.0  513.21  11  0.31  673.33 152 635  0.38 27
 18700 196  28.9 .012  -8.0 -33.2  511.16  11  0.30  671.40 152 635  0.37 27
 18800 197  28.7 .009  -8.3 -33.4  509.21  11  0.29  669.53 151 634  0.36 27
 18900 200  27.0 .036  -8.6 -33.7  507.20  11  0.29  667.66 151 634  0.35 27
 19000 202  25.8 .027  -8.8 -33.8  505.18  11  0.28  665.57 150 634  0.35 27
 19100 201  25.9 .008  -9.1 -34.1  503.24  11  0.28  663.81 150 633  0.34 27
 19200 198  26.1 .020  -9.4 -34.3  501.25  11  0.27  661.89 149 633  0.33 27
 19300 193  26.8 .041  -9.7 -34.6  499.28  11  0.26  660.05 149 633  0.32 27
 19400 191  26.5 .020  -9.9 -34.8  497.32  11  0.26  657.96 148 633  0.32 27
 19500 190  26.3 .009 -10.2 -35.0  495.39  11  0.25  656.24 148 632  0.31 27
 19600 191  26.7 .010 -10.4 -35.1  493.45  11  0.25  654.09 147 632  0.30 27
 19700 192  27.6 .018 -10.7 -35.3  491.49  11  0.25  652.23 147 632  0.30 27
 19800 193  28.5 .017 -10.9 -35.5  489.56  11  0.24  650.12 146 631  0.29 27
 19900 193  28.2 .005 -11.1 -34.8  487.57  12  0.26  648.12 146 631  0.31 27
 20000 191  28.3 .017 -11.4 -35.0  485.72  12  0.25  646.28 146 631  0.31 27
 20100 190  28.7 .011 -11.6 -35.3  483.77  12  0.25  644.21 145 630  0.30 27
 20200 192  29.6 .024 -11.8 -36.2  481.84  11  0.23  642.17 145 630  0.27 27
 20300 193  29.8 .009 -12.1 -36.5  479.90  11  0.22  640.28 144 630  0.27 27
 20400 195  29.6 .018 -12.3 -36.6  478.00  11  0.22  638.24 144 630  0.26 27
 20500 197  29.1 .019 -12.5 -36.8  476.12  11  0.21  636.22 143 629  0.26 27
 20600 197  29.2 .002 -12.7 -37.2  474.20  11  0.20  634.14 143 629  0.25 27
 20700 196  30.2 .018 -12.9 -38.0  472.34  10  0.19  632.15 142 629  0.23 27
 20800 196  31.4 .020 -13.2 -37.3  470.49  11  0.20  630.40 142 629  0.24 27
 20900 197  32.4 .019 -13.4 -37.5  468.59  11  0.20  628.34 141 628  0.24 27
 21000 197  33.2 .014 -13.6 -37.7  466.74  11  0.20  626.41 141 628  0.23 27
 21100 196  34.3 .020 -13.9 -37.9  464.83  11  0.19  624.47 140 628  0.23 27
 21200 193  35.6 .037 -14.1 -38.1  463.03  11  0.19  622.56 140 627  0.23 27
 21300 192  36.5 .019 -14.3 -38.2  461.16  11  0.19  620.52 139 627  0.22 27
 21400 194  36.8 .018 -14.5 -38.3  459.26  11  0.18  618.36 139 627  0.22 27
 21500 196  36.3 .026 -14.4 -39.2  457.42  10  0.17  615.78 138 627  0.20 27
 21600 197  35.7 .015 -14.4 -40.2  455.59   9  0.15  613.28 138 627  0.18 27
 21700 198  34.4 .025 -14.6 -41.5  453.79   8  0.13  611.42 137 627  0.16 27
 21800 197  33.3 .021 -14.7 -41.6  451.99   8  0.13  609.16 137 627  0.16 27
 21900 197  32.6 .013 -14.9 -42.9  450.12   7  0.11  607.12 136 626  0.14 27
 22000 200  32.0 .027 -15.2 -43.2  448.30   7  0.11  605.37 136 626  0.13 27
 22100 203  32.5 .033 -15.5 -43.4  446.56   7  0.11  603.72 135 626  0.13 27
 22200 204  32.9 .012 -15.8 -43.6  444.75   7  0.11  601.98 135 625  0.12 27
 22300 201  32.7 .025 -16.1 -42.6  442.93   8  0.12  600.20 134 625  0.14 27
 22400 199  31.7 .026 -16.4 -42.9  441.14   8  0.11  598.49 134 625  0.14 27
 22500 198  30.4 .025 -16.7 -43.1  439.41   8  0.11  596.83 134 624  0.13 27
 22600 197  30.0 .011 -17.0 -43.3  437.62   8  0.11  595.01 133 624  0.13 27
 22700 198  30.0 .005 -17.1 -43.4  435.83   8  0.11  592.90 133 624  0.13 27
 22800 198  29.8 .005 -17.3 -43.6  434.09   8  0.11  590.94 132 624  0.13 27
 22900 199  30.0 .009 -17.5 -44.9  432.32   7  0.09  589.04 132 623  0.11 27
 23000 199  30.7 .011 -17.7 -41.8  430.59  10  0.13  587.22 132 623  0.15 27
 23100 198  31.4 .015 -17.9 -38.8  428.85  14  0.18  585.23 132 623  0.21 27
 23200 199  31.8 .011 -18.1 -41.2  427.08  11  0.14  583.26 131 623  0.16 27
 23300 201  31.4 .017 -18.3 -39.8  425.37  13  0.16  581.36 131 622  0.19 27
 23400 203  31.4 .022 -18.6 -40.1  423.63  13  0.16  579.66 130 622  0.18 27
 23500 205  31.8 .020 -18.6 -41.7  421.89  11  0.13  577.39 130 622  0.15 27
 23600 205  32.7 .015 -18.8 -42.7  420.16  10  0.12  575.39 129 622  0.14 27
 23700 205  33.3 .010 -19.0 -43.8  418.45   9  0.10  573.51 128 621  0.12 27
 23800 204  33.7 .012 -19.3 -44.0  416.78   9  0.10  571.81 128 621  0.12 27
 23900 203  34.0 .011 -19.4 -44.2  415.08   9  0.10  569.88 128 621  0.12 27
 24000 202  34.1 .010 -19.7 -44.4  413.34   9  0.10  568.14 127 621  0.11 27
 24100 203  34.1 .010 -20.0 -44.6  411.63   9  0.10  566.39 127 620  0.11 27
 24200 203  34.1 .000 -20.2 -44.8  409.97   9  0.09  564.56 126 620  0.11 27
 24300 204  33.9 .011 -20.2 -47.0  408.27   7  0.07  562.23 126 620  0.09 27
 24400 204  33.3 .010 -20.4 -47.2  406.67   7  0.07  560.46 125 620  0.08 27
 24500 204  32.6 .013 -20.6 -47.3  405.01   7  0.07  558.62 125 619  0.08 27
 24600 204  32.6 .000 -20.8 -46.3  403.32   8  0.08  556.73 125 619  0.09 27
 24700 205  32.7 .010 -21.0 -46.5  401.62   8  0.08  554.91 124 619  0.09 27
 24800 206  32.4 .012 -21.2 -45.6  399.97   9  0.09  553.01 124 619  0.10 27
 24900 205  31.7 .014 -21.5 -45.8  398.35   9  0.08  551.45 123 618  0.10 27
 25000 204  31.2 .013 -21.8 -46.0  396.71   9  0.08  549.78 123 618  0.10 27
 25100 203  31.2 .009 -22.1 -46.3  395.10   9  0.08  548.21 123 618  0.09 27
 25200 203  31.6 .007 -22.3 -46.4  393.48   9  0.08  546.40 122 617  0.09 27
 25300 203  31.8 .003 -22.5 -46.6  391.81   9  0.08  544.51 122 617  0.09 27
 25400 205  32.4 .022 -22.6 -47.4  390.23   8  0.07  542.61 121 617  0.08 27
 25500 206  33.1 .015 -22.9 -46.9  388.61   9  0.08  540.92 121 617  0.09 27
 25600 207  33.3 .010 -23.1 -47.0  387.03   9  0.07  539.16 121 616  0.09 27
 25700 206  33.4 .010 -23.2 -47.1  385.34   9  0.07  537.01 120 616  0.08 27
 25800 204  33.7 .021 -23.4 -47.3  383.81   9  0.07  535.31 120 616  0.08 27
TERMINATION       25794 GEOPFT   7862 GEOPM  383.0 MBS
TROPOPAUSE  999999  FEET  9999.99 MB  999.9 C  999.9 C

MANDATORY LEVELS
GEOPFT DIR KTS  TEMP   DPT PRESS   RH

  2480 252  05  32.3  10.4  925.0  26 
  4941 271  06  24.9   7.7  850.0  33 
 10377 153  13   9.7   3.4  700.0  65 
 19229 195  27  -9.6 -34.5  500.0  11 
 24747 206  32 -21.2 -45.5  400.0   9 
SIGNIFICANT LEVELS
GEOMFT DIR KTS  TEMP   DPT PRESS   IR  RH

  2372 234  06  34.7  11.2  928.4 286  24 
  2474 252  04  32.4  10.4  925.3 286  26 
  5025 262  04  24.7   7.8  847.7 265  34 
  9853 140  15  11.2   4.0  713.9 232  61 
 11361 167  18   6.9   2.8  675.5 223  75 
 13107 187  30   3.3   1.0  633.0 210  85 
 14184 187  30   1.9  -1.3  608.0 199  79 
 14856 188  34  -0.1  -2.2  592.7 195  86 
 14989 184  34  -0.5  -2.4  589.7 194  87 
 15012 183  34  -0.5  -2.2  589.2 194  88 
 15122 180  34  -1.2  -4.2  586.8 190  80 
 15311 182  32  -0.3  -4.9  582.6 187  71 
 15706 184  34  -1.1  -7.9  573.9 181  60 
 16825 185  37  -4.1 -10.3  549.8 173  62 
 17261 185  30  -5.0 -14.8  540.6 166  46 
 17389 188  29  -4.8 -21.3  538.0 161  26 
 17630 195  26  -5.1 -30.9  532.9 157  11 
 17859 193  27  -5.6 -32.3  528.2 155  10 
 21138 195  34 -14.0 -38.0  464.1 140  11 
 21901 197  32 -14.9 -42.9  450.1 136   7 
 25813 204  33 -23.5 -47.4  383.6 120   9 
 25848 203  34 -23.5 -47.4  383.0 120   9 
TERMINATION
999 999
NNNN
