time_s,north_vel_fps,east_vel_fps,down_vel_fps,height_ft,total_pres_psi,static_pres_psi,total_temp_K,aoa_rad,aos_rad,roll_angle_rad,pitch_angle_rad,true_heading_rad
324.95,446.152139232,-550.710111616,1.386760865,21325.7874015748,8.9089818928237,6.76286618695512,284.123373506683,-0.208892023305315,-0.0170421919847297,-0.491544963125416,0.0522512199928519,-0.990663956304841
325,446.152139232,-550.710111616,1.386760865,21325.4593175853,8.9089818928237,6.76286618695512,284.120208359736,-0.209183524457515,-0.0169220791868444,-0.491353215529112,0.0522512199928519,-0.991718568084513
325.05,446.152139232,-550.710111616,1.386760865,21325.4593175853,8.9089818928237,6.76286618695512,284.123373506683,-0.208979473650975,-0.0170421919847297,-0.490969720336504,0.0523470937910039,-0.993156675056794
325.1,446.152139232,-550.710111616,1.386760865,21325.4593175853,8.9089818928237,6.76286618695512,284.120208359736,-0.209066923996635,-0.0170782258240952,-0.490873846538352,0.0523470937910039,-0.994115413038314
325.15,443.93220816,-552.218930016,1.346000647,21325.4593175853,8.9089818928237,6.76300858233439,284.123373506683,-0.208921173420535,-0.0170421919847297,-0.4907779727402,0.0524429675891559,-0.995553520010594
325.2,443.93220816,-552.218930016,1.346000647,21325.1312335958,8.9089818928237,6.76300858233439,284.123373506683,-0.208892023305315,-0.0170421919847297,-0.490873846538352,0.0525388413873079,-0.996512257992115
325.25,443.93220816,-552.218930016,1.346000647,21325.1312335958,8.9089818928237,6.76300858233439,284.12653865363,-0.208658822383555,-0.0170301807049411,-0.491065594134656,0.0525388413873079,-0.997950364964395
325.3,443.93220816,-552.218930016,1.346000647,21325.1312335958,8.9089818928237,6.76300858233439,284.129703800577,-0.208746272729215,-0.0170301807049411,-0.491353215529112,0.05263471518546,-0.998813229147763
325.35,440.559320144,-554.495064192,1.228725868,21325.1312335958,8.9089818928237,6.76300858233439,284.12653865363,-0.208833723074875,-0.0170061581453641,-0.49173671072172,0.05263471518546,-1.00025133612004
325.4,440.559320144,-554.495064192,1.228725868,21325.1312335958,8.9089818928237,6.76300858233439,284.132868947524,-0.208804572959655,-0.0169941468655755,-0.492120205914328,0.05263471518546,-1.00121007410156
325.45,440.559320144,-554.495064192,1.228725868,21325.1312335958,8.90853971769861,6.76311350524543,284.129703800577,-0.208921173420535,-0.016982135585787,-0.492407827308784,0.05263471518546,-1.00255230727569
